user-id,game-title,time-played
5250,Alien Swarm,4.9
5250,Counter-Strike,0.0
5250,Day of Defeat,0.0
5250,Deathmatch Classic,0.0
5250,Dota 2,0.2
5250,Half-Life,0.0
5250,Half-Life 2,0.0
5250,Portal,0.0
5250,Portal 2,13.6
5250,Ricochet,0.0
5250,Team Fortress 2,0.8
5250,Team Fortress Classic,0.0
76767,Alien Swarm,0.8
76767,Banished,24.0
76767,Counter-Strike,0.0
76767,Day of Defeat,0.0
76767,Deathmatch Classic,0.0
76767,Half-Life,1.2
76767,Portal 2,15.0
76767,Ricochet,0.0
76767,Team Fortress Classic,0.0
76767,The Stanley Parable,1.8
76767,Thief,0.0
76767,Worms Armageddon,0.4
86540,Alan Wake,0.2
86540,Alan Wake's American Nightmare,0.0
86540,Borderlands 2,0.7
86540,Counter-Strike,0.0
86540,Day of Defeat,0.0
86540,Deathmatch Classic,0.0
86540,Far Cry 3,17.8
86540,Half-Life,0.0
86540,Half-Life 2,0.0
86540,L.A. Noire,0.0
86540,Left 4 Dead 2,16.4
86540,Max Payne 3,0.9
86540,Overlord II,0.0
86540,Poker Night at the Inventory,0.0
86540,Portal,0.2
86540,Portal 2,0.0
86540,Puzzle Agent,0.0
86540,Puzzle Agent 2,0.0
86540,Ricochet,0.0
86540,Rise of the Argonauts,0.0
86540,Serious Sam 2,0.0
86540,Serious Sam Double D XXL,0.0
86540,Team Fortress Classic,0.0
86540,The Walking Dead,1.8
86540,Torchlight II,3.6
86540,Tropico 4,0.0
86540,Universe Sandbox,0.0
103360,Counter-Strike,0.0
103360,Day of Defeat,0.0
103360,Deathmatch Classic,0.0
103360,Half-Life,0.0
103360,Ricochet,0.0
103360,Team Fortress Classic,0.0
144736,Counter-Strike,0.1
144736,Day of Defeat,0.0
144736,Deathmatch Classic,0.0
144736,Half-Life,0.0
144736,Ricochet,0.0
144736,Team Fortress Classic,0.0
181212,Counter-Strike,1.8
181212,Day of Defeat,0.0
181212,Deathmatch Classic,0.0
181212,Half-Life,0.0
181212,Half-Life 2,0.0
181212,Ricochet,0.0
181212,Team Fortress Classic,0.0
229911,Counter-Strike,45.0
229911,Day of Defeat,0.4
229911,Deathmatch Classic,0.0
229911,Half-Life,0.5
229911,Half-Life 2,0.6
229911,Portal,0.1
229911,Ricochet,0.0
229911,Team Fortress 2,0.4
229911,Team Fortress Classic,0.0
229911,Worms Reloaded,3.1
298950,7 Days to Die,14.3
298950,Age of Wonders III,0.6
298950,Alan Wake,0.4
298950,Alan Wake's American Nightmare,0.0
298950,Alien Swarm,1.6
298950,Aquaria,0.0
298950,Armikrog,4.7
298950,Arx Fatalis,0.0
298950,Banished,0.6
298950,BioShock Infinite,21.0
298950,Borderlands 2,78.0
298950,Broken Age,3.7
298950,Brothers - A Tale of Two Sons,3.2
298950,Cave Story+,0.1
298950,Child of Light,0.0
298950,Company of Heroes,0.0
298950,Counter-Strike,0.5
298950,Crusader Kings II,1.0
298950,Day of Defeat,0.0
298950,Deadlight,0.0
298950,Deathmatch Classic,0.0
298950,Dishonored,27.0
298950,Don't Starve,2.9
